Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Adams,Meeker County,Minnesota,Fund,2011,Adams Wind Generations / BluEarth Renewables / Juhl Energy,12,20.0,,"- Through a landowner-led initiative, BluEarth Renewables and local project owners established a scholarship fund that awards scholarships to graduating seniors from Atwater-Cosmos-Grove City Public Schools. Scholarships are intended to go to students with an interest in the renewable energy field. ",https://bluearthrenewables.com/new-community-scholarship-launched-in-minnesota/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Bent Tree,Freeborn County,Minnesota,Donation/support to local cause,2011,Alliant Energy,122,201.0,,"- Alliant supports local organizations and events, including the Ag Open Golf Outing, Freeborn County 4-H, Freeborn County Fair, and Hartland Fire Department.",https://www.alliantenergy.com/cleanenergy/ourenergyvision/windgeneration/iowawindexpansion/benttreewindfarm,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Black Oak Getty ,Steams County,Minnesota,Fund,2016,Geronimo Energy / Sempra Renewables / AEP,39,82.0,Donation/support to local cause,"- The Black Oak Getty Community Fund is the result of a commitment originally made by Geronimo Energy and honored by Sempra Renewables to use a portion of the wind farm’s profits to give back directly to the area communities. The Community Fund's mission is to improve the quality of life of all citizens in the area of Black Oak Getty wind farm through charitable grants; preference is given to ""innovative programs in the areas of education, environment, and community development that encourage volunteerism, community development, and/or promote environmental awareness and improvement."" The Community Fund receives up to $16,000 annually, and spending of the Community Fund is at the direction of the Community Fund’s board of directors, which is made up of landowners hosting wind turbines and one at-large director from the community. 

- In April 2020, AEP donated $10,000 to the Sauk Centre Area Community Foundation in Sauk Centre, Minnesota.","https://blackoakgetty.org, https://www.geronimoenergy.com/wp-content/themes/geronimo/pdf/Project%20Community%20Fund%20Sheets/Wind/Black%20Oak%20Getty%20Community%20Fund%20-%20email.pdf, https://www.aep.com/news/stories/read/5594/AEP-Renewables-Gives-Back-to-Communities-During-the-Pandemic",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Chanarambie / Viking / Northern Wind,Murray County,Minnesota,Donation/support to local cause,2003,EDF Renewables / ALLETE Clean Energy / Xcel Energy,57,97.5,,"- ALLETE Clean Energy has donated $11,000 to the Lake Wilson Volunteer Fire Department near its Viking and Chanarambie wind sites, collectively called Northern Wind, to fund the purchase of turnout gear for firefighters. This included a $5,000 donation in 2021 and two previous donations of $3,000 each.","https://alletecleanenergy.com/Content/Documents/PressReleases/press-release-062921.pdf, https://alletecleanenergy.com/OurCompany/OurCulture",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Danielson,Meeker County,Minnesota,Fund,2011,Danielson Wind Farms / Juhl Energy,12,20.0,,"- Through a landowner-led initiative, BluEarth Renewables and local project owners established a scholarship fund that awards scholarships to graduating seniors from Atwater-Cosmos-Grove City (ACGC) Public Schools. Scholarships are intended to go to students with an interest in the renewable energy field. ",https://bluearthrenewables.com/new-community-scholarship-launched-in-minnesota/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Lake Benton,Lincoln County,Minnesota,Donation/support to local cause,1998, NextEra Energy Resources / ALLETE Clean Energy / Xcel Energy,143,105.0,,"- Lake Benton Wind has supported local organizations and events, including the Relay for Life Walk, Elk Nation Annual Golf Tournament, Lady Elks Volleyball Team Cancer Night, Lake Benton Area Chamber’s Santa Claus Day and Visitor Guide, and Lake Benton Community Services’ Diner’s Club.",https://alletecleanenergy.com/OurCompany/OurCulture,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Minn-Dakota,"Lincoln County (MN), Brookings County (SD)",Minnesota,Non-financial,2007,PPM Energy / Iberdrola / PacifiCorp,64,96.0,," - In 2008, PPM Energy collaborated with South Dakota State University and engaged three classes at Elkton Public School in a hands-on project to create their own model wind turbines. The initiative included a field trip to a working turbine at the MinnDakota site, providing students with a real-world learning experience about the day-to-day activities of a wind technician.",https://www.avangrid.com/w/congressional-delegation-local-elected-officials-and-community-celebrate-sds-newest-wind-power,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Nobles 2,Nobles County,Minnesota,Fund,2020,Tenaska Energy / ALLETE Clean Energy / Bright Canyon Energy,74,250.0,Donation/support to local cause,"- Nobles 2 Power Partners (comprised of Tenaska Energy and ALLETE Clean Energy) created a community fund, with a $15,000 annual contribution for 20 years ($300,000 total). The first payment into the fund took place within the project's first operational year. 

- At the start of construction, Nobles 2 Power Partners provided $30,000 in donations to first-responders and social services in Nobles County that were responding to the pandemic.","https://www.tenaska.com/nobles-2-wind-farm-in-southwest-minnesota-begins-commercial-operation/, https://www.dglobe.com/news/nobles-2-power-partners-announces-creation-of-community-fund",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Oak Glen,Steele County,Minnesota,Non-financial,2011,Municipally-owned / Minnesota Municipal Power Agency / Avant Energy,24,44.0,,- The Oak Glen Wind Farm provided a wind education facility to the Blooming Prairie community. The education facility includes a gazebo and signage with wind energy information.,https://www.mmpa.org/power-supply/oak-glen-wind-farm/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Odell,"Cottonwood County, Jackson County, Martin County, Watonwan County",Minnesota,Fund,2016,Geronimo Energy,100,200.0,,"- Geronimo Energy created the Odell Wind Farm Community Fund, which directs benefits to people in the wind farm's footprint in the counties of Cottonwood, Jackson, Martin and a portion of Watonwan, Minnesota. The Odell Wind Farm pays approximately $40,000 per year into the fund. Funds can be used for a variety of purposes; for example, in 2017, funds went toward the city of Mountain Lake's Parks Department for park upgrades, Mountain Lake Elementary Student Council for laptops, Martin County 4-H for performing arts lessons, the Jackson County Library System for STEAM (Science, Technology, Engineering, Art and Math) products, Mountain Lake Fire Department for replacing turn-out gear, Windom Area Hospital for outdoor gym equipment, and more.","https://www.geronimoenergy.com/wp-content/themes/geronimo/pdf/Project%20Community%20Fund%20Sheets/Wind/Odell%20Community%20Fund%20-%20email.pdf, https://www.cross-countiesconnect.com/2017/11/odell-wind-farm-community-fund-awards-first-round-of-grand-recipients/, https://www.facebook.com/people/Odell-Wind-Farm-Community-Fund/100064320356079/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Prairie Rose,Rock County,Minnesota,Fund,2012,Geronimo Energy / Enel Green Power,119,200.0,Donation/support to local cause,"- The Prairie Rose Minnesota Community Fund supports projects and initiatives through grants, donations, gifts, and contributions related to the areas of environment, biodiversity, amateur athletics, arts and culture, education, health and wellness, social services, community infrastructure, and capital assets. The Community Fund grants up to 25% of its annual funding in the form of scholarships. The fund supports projects in the communities of Rose Dell, Denver, Springwater, Hardwick, and Jasper. The Community Fund is an independent 501(c)(3) private foundation primarily funded by the Prairie Rose Wind Project and governed by a Board of Directors composed of community members and landowners who live in the townships served by the Community Fund. Enel Green Power contributes $40,000 annually to the fund. Some recipients of funding have included the Jasper Fire Department, the Hardwick Fire Department, the city of Hardwick, the Hardwick Community Club, the Rock County Sheriff's Office, the Jasper Ambulance Association, the city of Jasper, the Rock County Historical Society, and American Legion.

- In 2020, Geronimo Energy donated $5,500 to the Luverne Area Community Foundation, which went toward the foundation's Community Crisis Fund that was established to help non-profit organizations in Rock County with funding during COVID-19.

- In 2020, Enel Green Power donated $5,000 to Luverne Public School District and $5,000 to Pipestone Area Public Schools to support remote learning technology and free meals for students during COVID-19. This funding was part of a $1.3 million donation made by Enel Green Power to 75 beneficiaries in the areas of Enel's projects in the U.S. and Canada.","https://www.star-herald.com/news/geronimo-energy-helps-luverne-area-community-foundation-top-its-50000-fundraising-goal, http://prairierosecommunityfund.com/index.html, https://www.pipestonestar.com/articles/31321-donated-to-jasper-fire-department/, https://www.pipestonestar.com/articles/jasper-big-winner-of-grant-funds/, https://www.star-herald.com/prairie-rose-community-fund-grants-scholarships-awarded-2023, https://www.star-herald.com/news/luverne-schools-benefit-prairie-rose-wind-farm-donation",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Prairie Star,Mower County,Minnesota,Donation/support to local cause,2007,Horizon Wind / EDP Renewables,60,100.7,,"- In 2020, the Prairie Star, Pioneer Prairie, and Turtle Creek wind projects teamed up with their parent company, EDP Renewables, to donate $5,000 to the Mitchell County Food Bank and $8,000 to the Channel One Food Bank. Channel One used the funds for local food shelves serving Spring Valley, LeRoy, and Grand Meadow, as well as providing general support for their efforts to assist families throughout the region.",https://www.austindailyherald.com/2020/09/letter-renewables-giving-back/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Red Pine,Lincoln County,Minnesota,Donation/support to local cause,2017,EDF Renewables,100,200.0,,"- EDF Renewables has contributed more than $20,000 to local organizations near the Red Pine wind project, including a fire department. 

- Separate from mitigation for environmental impacts from the project, EDF voluntarily committed to contributing to ongoing eagle conservation programs. This commitment included a $10,000 donation during the project permitting phase and an additional $10,000 donation after each five-year term of project operations; donations will go to a local eagle rehabilitation center and environmental nonprofits working on educating the public about eagle protection and making non-toxic fishing tackle and ammunition available. ","https://www.edf-re.com/wp-content/uploads/Landowner-broch-2021-FINAL-5-2021.pdf, https://www.fws.gov/sites/default/files/documents/ecp-red-pine-wind-eagle-permit-2022.pdf, https://www.nsenergybusiness.com/news/newsedf-re-begins-operations-of-200mw-red-pine-wind-project-in-minnesota-010218-6043442/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Walleye,Rock County,Minnesota,Donation/support to local cause,2022,NextEra Energy Resources,40,110.0,,"- During the Walleye Wind groundbreaking ceremony in 2022, NextEra Energy Resources donated $8,000 to the Luverne Area Chamber of Commerce to support Cardinal Pride Week.

- Walleye Wind has supported community organizations and events, including the Luverne Chamber of Commerce's Fourth of July fireworks, the Stronger Together Campaign, the Beaver Creek Splash Pad, Beaver Creek-Hills School (donation of Kindle Fire tablets), Rock County Food Pantry, and the Luverne High School robotics program ($5,000 donation).","https://www.dglobe.com/news/local/40-turbine-walleye-wind-farm-to-be-constructed-near-beaver-creek, http://rmeb.org/Meetings/2020/NextEra%20Presentation.pdf",2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Lost Creek Wind,DeKalb County,Missouri,Fund,2010,Wind Capital Group / Pattern Energy,99,150.0,Donation/support to local cause,"- Since 2010, Lost Creek Wind has awarded annual Positive Energy scholarships to graduating high school seniors going to universities and trade schools. There are three scholarships for traditional universities and two for trade schools. 

- Pattern Energy has supported local organizations, including a museum.","https://patternenergy.com/projects/lost-creek-wind/, https://patternenergy.com/scholarship-recipient-sam-fields-state-tech-bound/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Outlaw / Atchison,Atchison County,Missouri,Non-financial,2021,Tradewind Energy / Invenergy / Ameren,91,300.0,Donation/support to local cause,"- In 2022, Invenergy donated a decommissioned nacelle from the Outlaw/Atchison project to a local technical college, Tarkio Technology Institute, to serve as a hands-on learning tool for students in the wind technician training program.

- Ameren has contributed to the Tarkio Technology Institute to support its wind technician training program.","https://invenergyimpact2022.com/uploads/downloads/Invenergy-Impact-Report-2022.pdf, https://www.kmaland.com/news/ameren-missouri-acquires-atchison-county-wind-farm/article_4fc8d9b2-5726-11eb-8593-1bb5697949ad.html",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Rock Creek,Atchison County,Missouri,Donation/support to local cause,2017,Enel Green Power,150,300.0,,"- Enel Green Power has provided support to key community needs in northwest Missouri, through the White Cloud wind farm in Nodaway County and the Rock Creek wind farm in Atchison County. As part of the $1.3 million Enel provided to communities across the U.S. and Canada for COVID-19 relief efforts, Enel contributed $50,000 to Community Hospital-Fairfax, $5,000 to the Nodaway County Senior Citizens Center, and $25,000 to volunteer fire districts in Polk, Skidmore, Graham and Barnard.",https://www.enelgreenpower.com/our-projects/operating/white-cloud-wind-project,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Tenaska Clear Creek Wind Farm,Nodaway County,Missouri,Fund,2020,Tenaska,111,242.0,Formal agreement,"- Tenaska awards scholarships to graduating seniors in Nodaway County; as of summer 2023, Tenaska Clear Creek had distributed a total of $13,500 in scholarships. 

- Tenaska established a civic improvement fund through a community fund donation to the Nodaway County Commission; Tenaska will contribute $15,000 per year for 20 years to the fund, for a total of $300,000. The County Commission can spend funds on a variety of community development and public services activities, including youth programs, initiatives benefiting disadvantaged residents, community facilities, energy-related activities, disaster relief, capital assets, and first-responder resources. The funds can also be distributed to townships and municipalities in the county as long as funds are earmarked for the permitted uses.","https://www.maryvilleforum.com/news/tenaska-clear-creek-wind-farm-awards-7-500-in-scholarships/article_1da972d0-0b4b-11ee-95a1-531b18eb2904.html, https://www.maryvilleforum.com/business/wind-developer-creates-civic-improvement-fund/article_6b02195e-4fdb-11e9-a7da-cba4f583abdd.html",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,White Cloud,Nodaway County,Missouri,Donation/support to local cause,2020,Enel Green Power,89,236.5,,"- Enel Green Power has provided support to key community needs in northwest Missouri, through the White Cloud wind farm in Nodaway County and the Rock Creek wind farm in Atchison County. As part of the $1.3 million Enel provided to communities across the U.S. and Canada for COVID-19 relief efforts, Enel contributed $50,000 to Community Hospital-Fairfax, $5,000 to the Nodaway County Senior Citizens Center, and $25,000 to volunteer fire districts in Polk, Skidmore, Graham and Barnard.",https://www.enelgreenpower.com/our-projects/operating/white-cloud-wind-project,2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
